Trainer_PK,Horse_PK,Horse_Name,Horse_BY,Trainer_Num,Trainer_Name,Trainer_Div
70165,42957,천마비상,2018,33,서인석,서울 경마장
70165,42212,바람과함께,2018,33,서인석,서울 경마장
70181,43008,이무기,2018,42,이관호,서울 경마장
70098,42143,질주본,2018,3,최영주,서울 경마장
70170,41986,대완구,2018,52,김동균,서울 경마장
70179,42021,마이윈,2018,40,송문길,서울 경마장
70161,45692,더드림캐리어,2018,41,신삼영,서울 경마장
70148,43659,승부사,2019,10,정호익,서울 경마장
70177,43662,로드에이스,2019,53,김동철,서울 경마장
70174,45100,텐배거,2019,9,강성오,서울 경마장
70144,43692,럭키크라운,2019,29,배휴준,서울 경마장
70148,43657,원평스카이,2019,10,정호익,서울 경마장
70200,44348,실버스타,2019,51,최용건,서울 경마장
70170,43667,메니원더풀,2019,52,김동균,서울 경마장
70174,43772,강서돌풍,2019,9,강성오,서울 경마장
70166,43739,그랜드파워,2019,37,심승태,서울 경마장
70200,43674,골든펄,2019,51,최용건,서울 경마장
70197,43685,참좋은친구,2019,48,이준철,서울 경마장
70168,43776,은혜레코드,2019,8,최용구,서울 경마장
70117,43778,멋진기록,2019,4,박윤규,서울 경마장
70265,43796,더리퍼,2019,30,토니,서울 경마장
70182,43658,아스펜태양,2019,25,전승규,서울 경마장
70179,45162,와우와우,2019,40,송문길,서울 경마장
70094,43699,한강돌풍,2019,19,곽영효,서울 경마장
70177,43663,에코존,2019,53,김동철,서울 경마장
70157,44732,고마나루,2019,7,구자흥,서울 경마장
70165,43475,매직러시,2019,33,서인석,서울 경마장
70114,43755,함평파이터,2019,15,박희철,서울 경마장
70179,43756,퍼플케이,2019,40,송문길,서울 경마장
70150,45093,미르파워,2019,2,손영표,서울 경마장
70085,43682,바람살,2019,28,최상식,서울 경마장
70165,43693,벤칼프린세스,2019,33,서인석,서울 경마장
70174,43836,최고포인트,2019,9,강성오,서울 경마장
70157,43786,스프링워터,2019,7,구자흥,서울 경마장
70170,43738,트로트퀸,2019,52,김동균,서울 경마장
70182,43803,어나더레벨,2019,25,전승규,서울 경마장
70150,43736,천지의빛,2019,2,손영표,서울 경마장
70244,43844,메니골드,2019,34,리카디,서울 경마장
70160,43711,블랙버미,2019,24,서홍수,서울 경마장
70098,44730,삼바존,2019,3,최영주,서울 경마장
70148,44326,터프가이,2019,10,정호익,서울 경마장
70166,43944,퍼스트슈,2019,37,심승태,서울 경마장
70168,43743,송암누리,2019,8,최용구,서울 경마장
70152,43806,장군별,2019,16,최봉주,서울 경마장
70150,45094,클레어파워,2019,2,손영표,서울 경마장
70179,45159,제이피닉스,2019,40,송문길,서울 경마장
70103,44910,용천지상,2019,32,김윤섭,서울 경마장
70182,43799,케이엔티즈원,2019,25,전승규,서울 경마장
70168,44065,카우보이킹,2019,8,최용구,서울 경마장
70174,43960,히든브레인,2019,9,강성오,서울 경마장
70174,43840,남산무적,2019,9,강성오,서울 경마장
